id,website_id,title,T2_S_score,T2_rank
20730211,2244,"

তৃতীয় দিন শেষেও চালকের আসনে শ্রীলঙ্কা
",82.05128205,148.0
20730210,2244,"

সাতক্ষীরা মেডিক্যাল কলেজে ছাত্রলীগের ২ গ্রুপের সংঘর্ষ
",82.05128205,148.0
20730209,2244,"

৪ হাজার রানে ক্লাবে মুমিনুল
",82.05128205,148.0
20730208,2244,"

আওয়ামী লীগ রাষ্ট্রীয় ক্ষমতা সম্পূর্ণ কুক্ষিগত করে ফেলেছে : সালাম
",82.05128205,148.0
20731579,2244,"

৭ জানুয়ারির ভোটে আওয়ামী লীগের খরচ পৌনে ৩ কোটি টাকা
",82.05128205,148.0
20731578,2244,"

চাঁদাবাজির প্রতিবাদে ভৈরবে বেসরকারি ক্লিনিক-হাসপাতালে ওষুধ সরবরাহ বন্ধ
",82.05128205,148.0
20732372,2244,"

এই সরকার জনগণের ভোটে নির্বাচিত নয় : প্রিন্স
",82.05128205,148.0
20731580,2244,"

ফুয়াদ হত্যা : ইউপি চেয়ারম্যান জেসমিনের বাড়িতে হয় গোপন বৈঠক
",82.05128205,148.0
20732366,2244,"

জামিনে মুক্তি পেলেন বিএনপির দুলু
",82.05128205,148.0
20730204,2244,"

লেখাপড়ার স্বার্থে রাজনীতি বন্ধ রাখবে কি না এ সিদ্ধান্ত বুয়েটের : গয়েশ্বর রায়
",82.05128205,148.0
20732373,2244,"

ডেমরায় গ্যারেজে থাকা ভলভো বাসে আগুন, নিয়ন্ত্রণে ৬ ইউনিট
",82.05128205,148.0
20732371,2244,"

জবির আইন বিভাগের চেয়ারম্যানের পদত্যাগ
",82.05128205,148.0
20732370,2244,"

কেজরিওয়ালের গ্রেফতার কি ভারতের বিরোধী জোটকে এককাট্টা করতে পারবে?
",82.05128205,148.0
20732369,2244,"

সিলেটের শিলাবৃষ্টির আকার কি অস্বাভাবিক?
",82.05128205,148.0
20732368,2244,"

কম্বোডিয়ায় ‘সাইবার জালিয়াতিতে যুক্তদের’ উদ্ধার করছে ভারত
",82.05128205,148.0
20732367,2244,"

বিরাজনীতিকরণের নামে বুয়েটকে জঙ্গিবাদের আখড়া বানানো যাবে না : পররাষ্ট্রমন্ত্রী
",82.05128205,148.0
20732365,2244,"

কেজরিওয়ালের গ্রেফতার কি ভারতের বিরোধী জোটকে এককাট্টা করতে পারবে?
",82.05128205,148.0
20731581,2244,"

‘দেশে ন্যায় বিচার প্রতিষ্ঠার জন্য ল’ইয়ার্স কাউন্সিল কাজ করে যাচ্ছে’
",82.05128205,148.0
20732364,2244,"

তামাক বিরোধীদের বাজেট প্রস্তাব বাস্তবায়ন হলে ১১ লাখ অকাল মৃত্যুরোধ সম্ভব
",82.05128205,148.0
20731587,2244,"

ইসরাইলের সাথে সমন্বয় করে গাজায় বাহিনী পাঠিয়েছে ফাতাহ, অভিযোগ হামাসের
",82.05128205,148.0
20731586,2244,"

বাস ভাড়া কিলোমিটারে ৩ পয়সা কমিয়ে প্রজ্ঞাপন
মঙ্গলবার থেকে কার্যকর
",82.05128205,148.0
20731585,2244,"

শান্তিকামী মানুষের আন্দোলন বন্দুক দিয়ে থামিয়ে রাখা যায় না : ড. মঈন খান
",82.05128205,148.0
20731584,2244,"

ঢাকাস্থ রংপুর ছাত্রফোরামের সভাপতি মাহিন, সম্পাদক ইমরান
",82.05128205,148.0
20731583,2244,"

মাদারগঞ্জে পাগলা কুকুরের কামড়ে ৭ জন আহত
",82.05128205,148.0
20731582,2244,"

ট্রেনের নিচে ঝাঁপ দিয়ে গৃহবধূর আত্মহত্যা, বাঁচাতে গিয়ে প্রাণ গেল কলেজছাত্রের
",82.05128205,148.0
20730205,2244,"

গ্যাস বিস্ফোরণ : চিকিৎসাধীন বাবা-মা ও সন্তানের মৃত্যু
",82.05128205,148.0
20725338,2244,"

মাহি ম্যাজিকেও হলো না শেষরক্ষা, পন্থের দুরন্ত ব্যাটিংয়ে চেন্নাই জয় দিল্লির
",82.05128205,148.0
20725339,2244,"

গণমাধ্যমকে দেশের ইতিবাচক দিক তুলে ধরতে হবে : পররাষ্ট্রমন্ত্রী
",82.05128205,148.0
20725397,2244,"

বিদ্যুৎ বিভ্রাটে ভোগান্তি বাড়ছে ফরিদপুরে
",82.05128205,148.0
20725406,2244,"

 মার্সেল ফ্রিজ কিনে ১০ লাখ টাকা পেলেন গৃহিণী ঝর্ণা
",82.05128205,148.0
20725405,2244,"

বাজারের নতুন পণ্য ‘লাক্সারি ম্যাট’
",82.05128205,148.0
20725404,2244,"

লেনদেন ও সূচক বেড়েছে উভয় শেয়ারবাজারে
দর বেড়েছে ২৭৩টির, কমেছে ৭৪টির এবং অপরিবর্তিত রয়েছে ৪৯টির
",82.05128205,148.0
20725403,2244,"

স্ট্যান্ডার্ড ব্যাংকের ৩৮৯তম বোর্ডসভা অনুষ্ঠিত
",82.05128205,148.0
20725402,2244,"

দুস্থদের মাঝে স্বাধীনতা ব্যাংকার্স পরিষদের খাদ্যসামগ্রী  বিতরণ
",82.05128205,148.0
20725401,2244,"

 বেক্সিমকোর ২ হাজার ৬২৫ কোটি টাকার বন্ড আসছে
",82.05128205,148.0
20725400,2244,"

 বশেমুরকৃবিতে ডিজিটাল স্কিলস ফর স্টুডেন্টস প্রশিক্ষণ উদ্বোধন
",82.05128205,148.0
20725399,2244,"

মার্কেন্টাইল ব্যাংকের ‘রামপুরা শাখা’ স্থানান্তর
",82.05128205,148.0
20725398,2244,"

ঘাটাইলে শিক্ষার আলো ছড়াচ্ছে অনুসন্ধান স্কুল
",82.05128205,148.0
20725396,2244,"
ইউপি সদস্যের কাছে প্রশাসন অসহায় 
মুরাদনগরে খিড়া নদীতে বাঁধ দিয়ে কৃষিজমির মাটি নিচ্ছে ইটভাটায়
",82.05128205,148.0
20725385,2244,"

লালমোহনে ৯ মাসের শিশুর গলা কাটল দুর্বৃত্তরা 
",82.05128205,148.0
20725395,2244,"

ঘাঘট নদীর ভাঙন আতঙ্কে পাশপাশের মানুষ
",82.05128205,148.0
20725394,2244,"

ব্রহ্মপুত্রের চর থেকে অটোরিকশাসহ জুয়ার সরঞ্জামাদি  উদ্ধার
",82.05128205,148.0
20725393,2244,"

লালমাইয়ে পানিতে ডুবে তিন বছরের শিশুর মৃত্যু
",82.05128205,148.0
20725392,2244,"

বকশিগঞ্জে স্বামী-স্ত্রীর ঝগড়া থামাতে দায়ের কোপে মা নিহত 
",82.05128205,148.0
20725391,2244,"

পিরোজপুরজুড়ে ভয়ঙ্কর হয়ে উঠছে কিশোর গ্যাং
দেশীয় অস্ত্রসহ গ্যাংয়ের ১৮ সদস্য গ্রেফতার
",82.05128205,148.0
20725390,2244,"

 পাথরঘাটায় এতিমদের নিয়ে প্রতিবন্ধী সোহাগের ইফতার
",82.05128205,148.0
20725389,2244,"

রূপগঞ্জে যুবককে পিটিয়ে দুই পা ভেঙে দিলো সন্ত্রাসীরা
",82.05128205,148.0
20725388,2244,"

 সৈয়দপুর পৌর মেয়রের অপসারণ দাবি
",82.05128205,148.0
20725387,2244,"

বাকপ্রতিবন্ধী সুমাইয়া উচ্চশিক্ষিত হয়ে স্বাবলম্বী হতে চায়
",82.05128205,148.0
20725407,2244,"

লিভারপুল জয়ী
",82.05128205,148.0
20725408,2244,"

অবশেষে জিএম নর্ম ফাহাদের
",82.05128205,148.0
20725409,2244,"

এবারো শুরুটা ১০ উইকেটের হার দিয়ে
",82.05128205,148.0
20725410,2244,"

সাবিনাদের নিয়ে নাসরিনের ট্রফির স্বপ্ন
",82.05128205,148.0
20725429,2244,"

উখিয়ায় পাহাড় কাটায় বাধা, ডাম্প ট্রাকের চাপায় বিট কর্মকর্তার মৃত্যু
",82.05128205,148.0
